0.000000000000000000e+00,9.800000000000000000e+01,1.930000000000000000e+02,2.890000000000000000e+02,3.860000000000000000e+02,4.820000000000000000e+02,5.820000000000000000e+02,6.770000000000000000e+02,7.670000000000000000e+02,8.620000000000000000e+02,9.690000000000000000e+02,1.073000000000000000e+03
1.066000000000000000e+03,9.750000000000000000e+02,8.680000000000000000e+02,7.700000000000000000e+02,6.760000000000000000e+02,5.780000000000000000e+02,4.850000000000000000e+02,3.870000000000000000e+02,2.880000000000000000e+02,1.920000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00
2.170000000000000000e+02,8.020000000000000000e+02,8.960000000000000000e+02,8.770000000000000000e+02,6.250000000000000000e+02,2.500000000000000000e+01,6.070000000000000000e+02,5.330000000000000000e+02,5.000000000000000000e+00,8.950000000000000000e+02,2.880000000000000000e+02,1.037000000000000000e+03
7.600000000000000000e+01,9.100000000000000000e+01,4.690000000000000000e+02,8.960000000000000000e+02,8.790000000000000000e+02,6.530000000000000000e+02,3.110000000000000000e+02,1.710000000000000000e+02,4.000000000000000000e+00,7.500000000000000000e+01,1.340000000000000000e+02,4.440000000000000000e+02
5.690000000000000000e+02,6.290000000000000000e+02,5.810000000000000000e+02,5.500000000000000000e+01,3.330000000000000000e+02,9.940000000000000000e+02,1.163000000000000000e+03,3.550000000000000000e+02,9.670000000000000000e+02,5.730000000000000000e+02,3.900000000000000000e+02,1.000000000000000000e+02
5.620000000000000000e+02,6.610000000000000000e+02,3.970000000000000000e+02,1.043000000000000000e+03,1.720000000000000000e+02,3.580000000000000000e+02,6.940000000000000000e+02,6.330000000000000000e+02,4.970000000000000000e+02,6.650000000000000000e+02,1.990000000000000000e+02,5.030000000000000000e+02
7.470000000000000000e+02,3.130000000000000000e+02,4.890000000000000000e+02,1.043000000000000000e+03,2.600000000000000000e+01,3.350000000000000000e+02,2.030000000000000000e+02,3.200000000000000000e+02,8.960000000000000000e+02,1.310000000000000000e+02,2.950000000000000000e+02,1.010000000000000000e+03
9.800000000000000000e+01,4.500000000000000000e+02,8.730000000000000000e+02,9.380000000000000000e+02,8.140000000000000000e+02,7.630000000000000000e+02,1.096000000000000000e+03,1.800000000000000000e+01,4.660000000000000000e+02,9.200000000000000000e+02,2.400000000000000000e+02,1.009000000000000000e+03
9.540000000000000000e+02,5.000000000000000000e+01,1.140000000000000000e+03,1.500000000000000000e+02,1.018000000000000000e+03,3.250000000000000000e+02,2.000000000000000000e+01,9.270000000000000000e+02,5.920000000000000000e+02,6.900000000000000000e+02,1.047000000000000000e+03,6.300000000000000000e+01
8.980000000000000000e+02,6.730000000000000000e+02,3.360000000000000000e+02,3.110000000000000000e+02,1.131000000000000000e+03,4.430000000000000000e+02,8.200000000000000000e+02,2.970000000000000000e+02,1.410000000000000000e+02,2.880000000000000000e+02,3.440000000000000000e+02,6.350000000000000000e+02
1.790000000000000000e+02,3.200000000000000000e+02,6.130000000000000000e+02,1.137000000000000000e+03,2.940000000000000000e+02,1.540000000000000000e+02,1.750000000000000000e+02,5.540000000000000000e+02,9.720000000000000000e+02,8.570000000000000000e+02,4.200000000000000000e+02,5.700000000000000000e+01
4.920000000000000000e+02,4.420000000000000000e+02,7.100000000000000000e+02,1.450000000000000000e+02,1.041000000000000000e+03,2.850000000000000000e+02,1.053000000000000000e+03,2.750000000000000000e+02,6.790000000000000000e+02,1.800000000000000000e+02,1.700000000000000000e+01,1.118000000000000000e+03
